waktu,tweet,sentiment
2021-08-16 23:55:42,"['ayo', 'warga', 'tulungagung', 'daftar', 'ikut', 'syarat', 'lampir', 'rabu', 'agustus']",positive
2021-08-16 23:54:58,"['daftar', 'ayo', 'lupa', 'warga', 'tulungagung', 'ikut', 'syarat']",positive
2021-08-16 23:50:56,['gas'],neutral
2021-08-16 23:47:46,"['satgas', 'masyarkat', 'khawatir', 'syarat', 'umrah']",neutral
2021-08-16 23:47:29,"['bukti', 'turun', 'risiko', 'mati', 'nakes']",positive
2021-08-16 23:46:59,"['jalan', 'lancar', 'sebentar', 'ingat', 'merdeka', 'ada']",neutral
2021-08-16 23:45:56,"['jerman', 'suntik', 'juta', 'dosis', 'inggris', 'juta', 'dosis']",neutral
2021-08-16 23:44:19,"['our', 'world', 'in', 'data', 'lapor', 'populasi', 'dunia', 'terima', 'dosis', 'vaksinasi']",neutral
2021-08-16 23:43:58,"['dasar', 'grafik', 'china', 'tempat', 'urut', 'negara', 'suntik']",neutral
2021-08-16 23:42:50,"['tempat', 'peringkat', 'negara', 'suntik', 'agustus', 'peringkat']",neutral
2021-08-16 23:42:16,"['laku', 'disiplin', 'prokes', 'cipta', 'herd', 'immunity', 'rakyat', 'ibadah', 'haji', 'umroh']",positive
2021-08-16 23:41:10,"['kapolsek', 'cikancung', 'akp', 'iwan', 'cahyadi', 'ikom', 'laksana', 'pantau', 'laksana', 'gerai', 'presisi', 'pt', 'indoplas', 'jalan', 'raya', 'cicalengkamajalaya', 'desa', 'hegarmanah']",neutral
2021-08-16 23:39:45,"['dirgahayu', 'republik', 'selamat', 'saksi', 'video', 'klip', 'rhapsody', 'album', 'slank']",neutral
2021-08-16 23:35:33,"['mas', 'perintah', 'rencana', 'booster', 'timbang', 'pasok', 'batas', 'banget', 'masyarakat', 'vaksin']",neutral
2021-08-16 23:32:03,"['baca', 'paksa', 'ancam', 'publik', 'fasilitas', 'layan']",negative
2021-08-16 23:31:27,"['terima', 'saran', 'yuk', 'dukung', 'lekas', 'bangkit']",positive
2021-08-16 23:24:50,"['rakyat', 'takut', 'jalan', 'doa', 'moga', 'merdeka', 'bebas', 'pandemi', 'hidup', 'jalan', 'normal', 'dirgahayu']",positive
2021-08-16 23:24:04,"['portugal', 'bikin', 'eh', 'perspektif', 'gimana', 'perintah']",neutral
2021-08-16 23:22:55,"['selamat', 'ulang', 'republik']",neutral
2021-08-16 23:21:38,"['rakyat', 'percaya', 'kadrun', 'hti', 'fpi', 'bikin', 'kadrun', 'nkri', 'vaksin', 'biar', 'modar']",negative
2021-08-16 23:20:24,"['slank', 'media', 'group', 'bikin', 'gera', 'tema']",positive
2021-08-16 23:19:37,"['acung', 'jempol', 'sedia', 'sulit', 'rintang']",positive
2021-08-16 23:18:14,"['warga', 'bahan', 'panjang']",neutral
2021-08-16 23:09:36,"['jrx', 'inspirasi', 'buka', 'mata', 'orang', 'betapa', 'moga', 'salah']",positive
2021-08-16 23:07:57,[],positive
