waktu,tweet,sentiment
2021-08-16 23:55:42,"['ayo', 'warga', 'tulungagung', 'daftar', 'ikut', 'vaksin', 'syarat', 'lampir', 'rabu', 'agustus']",positive
2021-08-16 23:54:58,"['daftar', 'vaksin', 'ayo', 'lupa', 'warga', 'tulungagung', 'ikut', 'vaksin', 'syarat']",positive
2021-08-16 23:50:56,['gas'],neutral
2021-08-16 23:47:46,"['satgas', 'masyarkat', 'khawatir', 'syarat', 'vaksin', 'umrah']",neutral
2021-08-16 23:47:29,"['vaksin', 'covid', 'bukti', 'turun', 'risiko', 'mati', 'nakes']",positive
2021-08-16 23:46:59,"['jalan', 'vaksin', 'lancar', 'sebentar', 'ingat', 'merdeka', 'ada']",neutral
2021-08-16 23:45:56,"['jerman', 'suntik', 'juta', 'dosis', 'vaksin', 'covid', 'inggris', 'juta', 'dosis', 'vaksin', 'covid']",neutral
2021-08-16 23:44:19,"['our', 'world', 'in', 'data', 'lapor', 'populasi', 'dunia', 'terima', 'dosis', 'vaksin', 'covid', 'vaksinasi']",neutral
2021-08-16 23:43:58,"['dasar', 'grafik', 'china', 'tempat', 'urut', 'negara', 'suntik', 'vaksin', 'covid']",neutral
2021-08-16 23:42:50,"['indonesia', 'tempat', 'peringkat', 'negara', 'suntik', 'vaksin', 'covid', 'agustus', 'peringkat']",neutral
2021-08-16 23:42:16,"['laku', 'vaksin', 'disiplin', 'prokes', 'cipta', 'herd', 'immunity', 'rakyat', 'indonesia', 'ibadah', 'haji', 'umroh']",positive
2021-08-16 23:41:10,"['kapolsek', 'cikancung', 'akp', 'iwan', 'cahyadi', 'ikom', 'laksana', 'pantau', 'laksana', 'gerai', 'vaksin', 'presisi', 'pt', 'indoplas', 'jalan', 'raya', 'cicalengkamajalaya', 'desa', 'hegarmanah', 'indonesia']",neutral
2021-08-16 23:39:45,"['dirgahayu', 'republik', 'indonesia', 'selamat', 'saksi', 'video', 'klip', 'rhapsody', 'indonesia', 'album', 'vaksin', 'slank']",neutral
